project_name,address,city,zip,units,sources,owner_operator,contact_email,multi_program_overlap
Mountain Valley Place,120 Valley St,New Haven,06515,41,Section8_Multifamily,MOUNTAIN VALLEY PLACE INC.,scaron@tcbinc.org,No
SHILOH MANOR,330 Butternut Street,MIDDLETOWN,06457,41,Section8_Multifamily,"Shiloh Manor,Inc.",shilohbaptistmdtn@sbcglobal.net,No
Hall Commons,55 George E Pipkins Way,Bridgeport,06608,41,Section8_Multifamily,"Hall Commons, Inc.",dwgoodson@yahoo.com,No
CEDAR ASSOC,106 W CEDAR ST,NORWALK,06854,40,LIHTC,,,No
HUNTINGTON PLACE,1235 HUNTINGTON TPKE,TRUMBULL,06611,40,LIHTC,,,No
TWIN ACRES,134 STONINGTON ST,HARTFORD,06106,40,LIHTC,,,No
FITCH COURT,156 BLOOMFIELD AVE,WINDSOR,06095,40,LIHTC,,,No
LIBERTY COMMONS,8 LIBERTY ST,MIDDLETOWN,06457,40,LIHTC,,,No
HUNTINGTON SENIOR HOUSING,80 WHITE PLAINS RD,TRUMBULL,06611,40,LIHTC,,,No
HARTFORD GRANDFAMILY HOUSING,35 CLARK ST,HARTFORD,06120,40,LIHTC,,,No
INDIAN FIELD APTS,11 FT HILL RD,NEW MILFORD,06776,40,LIHTC,,,No
MILL APTS,57 MILLPORT AVE,NEW CANAAN,06840,40,LIHTC;Section8_Multifamily,Millport Phase II Limited Partnership,shobbs@hobbsinc.com,Yes
MILLPORT PHASE II,59 AND 61 MILLPORT AVENUE,NEW CANAAN,06840,40,LIHTC,,,No
CANTON SPECIALTY HOUSING,300 + 350 COMMERCE DRIVE,CANTON,06019,40,LIHTC,,,No
ORCHARD HILL ESTATES,1630 Main Street,COVENTRY,06238,40,Section8_Multifamily,HOUSING AUTHORITY OF THE TOWN OF COVENTRY,lbradleybh@gmail.com,No
Westerleigh I,300 Plainville Ave,Unionville,06085,40,Section8_Multifamily,FARMINGTON ECUMENICAL & ELDERLY HOUSING CORP.,donna.beaulieu@bofa.com,No
Hill Central   Phase II,130 Button St,New Haven,06519,40,Section8_Multifamily,"Hill Central, LLC",rick@westmountmgmt.com,No
Marjorie Moore Village,250 Kensington Rd,Berlin,06037,40,Section8_Multifamily,BERLIN HOUSING AUTHORITY,mary@berlinhousing.org,No
MOUNTAIN LAUREL MANOR,31 QUAKER LA,BRISTOL,06010,40,Section8_Multifamily,HOUSING AUTHORITY OF THE CITY OF BRISTOL,mshackford@bristolhousing.org,No
Quarry Knoll II,52-99 Quarry Knoll,GREENWICH,06830,40,Section8_Multifamily,QUARRY KNOLL II CORPORATION,ajohnson@greenwichcommunity.org,No
Reynolds Ridge,25 Reynolds Rdg Rd,Bethel,06801,40,Section8_Multifamily,BETHEL HOUSING AUTHORITY,office@bethelhousingauthority.org,No
Canton Twenty One/21 Dowd Ave. Apts,21 Dowd Ave,Canton,06019,40,Section8_Multifamily,CANTON HOUSINGAUTHORITY,lindaspiers@aol.com,No
North Street Townhouses,235 North St,New Britain,06051,40,Section8_Multifamily,FBH New Britain LLC,1stbornholdings@gmail.com,No
Augustana Homes - Danbury,88 Main Street,DANBURY,06810,40,Section8_Multifamily,AH Danbury Acquisition LLC,zack.simmons@related.com,No
AHEPA 250 III - GROTON,251 DROZDYK DR,GROTON,06340,40,Section8_Multifamily,"AHEPA 250-III, Inc.",mitchellterm@yahoo.com,No
Chestnut Hill Apts,40 Edgemont Ln,Wolcott,06716,40,Section8_Multifamily,"Chestnut Hill Housing, Inc.",chestnuthill@ehmchm.org,No
Orford Village Commons,370 W Center St,Manchester,06040,40,Section8_Multifamily,"Orford Senior Housing, Inc",dpelletier@ehmchm.org,No
FOUNTAIN HEIGHTS,345 FOUNTAIN STREET,NEW HAVEN,06515,40,Section8_Multifamily,"B'nai B'rith Housing of New Haven, Inc.",HMiller936@aol.com,No
Grace House,25 Abbott Ter,Waterbury,06702,40,Section8_Multifamily,Grace Congregate Housing Corp.,srosa@ehmchm.org,No
NUESTRA CASA,180 Oak,HARTFORD,06106,40,Section8_Multifamily,"LA CASA ELDERLY HOUSING, INC.",fernandob@sanjuancenter.org,No
WOODS EDGE HOUSING,522 Pool Rd,North Haven,06473,40,Section8_Multifamily,"Woods Edge Housing, Inc.",woodsedge@ehmchm.org,No
Ida B. Wells Apts,100 Coventry St,Hartford,06112,40,Section8_Multifamily,"IDA B. WELLS, INC.",ptyson196@yahoo.com,No
Seasons of Hartford,397 Hudson St,Hartford,06106,40,Section8_Multifamily,"Immanuel Hudson House, Inc.",jeanneomurphy@immanuelhousect.org,No
Winter Grove,491 Darling Street,Southington,06489,40,Section8_Multifamily,"Winter Grove, Inc.",Tom@nwnh.net,No
Norman Ray House,133 Walnut St,Seymour,06483,40,Public_Housing,Housing Authority of the Town of Seymour,,No
FAIR HAVEN MUTUAL HOUSING LP,257 GRAND AVE,NEW HAVEN,06513,39,LIHTC,,,No
HIDDEN BROOK,1655 POST RD E,WESTPORT,06880,39,LIHTC,,,No
River Park Apts,38 W River St,Milford,06460,39,Section8_Multifamily,RIVER PARK ELDERLY HOUSING INC.,riverpark@ehmchm.org,No
CRESCENT BUILDING,431 WASHINGTON AVE,BRIDGEPORT,06604,38,LIHTC,,,No
BARTON COMMONS (FKA EAST STREET APTS.),34 EAST STREET,NEW MILFORD,06776,38,LIHTC,,,No
BLOOMFIELD SPECIALTY HOUSING,458 + 470 COTTAGE GROVE RD,BLOOMFIELD,06002,38,LIHTC,,,No
BRANFORD I/ BRANFORD ELDERLY,21 RICE TERRACE,BRANFORD,06405,38,Section8_Multifamily,21 Rice Terrace LLC,frank@jfaManagement.com,No
CLEARVIEW APTS,496 GARDEN ST,HARTFORD,06112,37,LIHTC,,,No
Clearview Apts,496-515 Garden St,Hartford,06112,37,Section8_Multifamily,Garden Street Ventures LLC,steve@srkmgmt.com,No
STATION PLACE APTS,103-2 WHITFORD CT,CANAAN,06018,37,Section8_Multifamily,107 Whitford Court LLC,Greg@pkcontractingct.com,No
WALL STREET PLACE PHASE I,WALL & ISAACS STREETS TO W AVE,NORWALK,,36,LIHTC,,,No
PARSONGE COTTAGE HOME FOR THE AGED,88 PARSONAGE RD,GREENWICH,06830,36,LIHTC,,,No
HARRISON SQUARE,52 MAIN ST,DANBURY,06810,36,LIHTC,,,No
FOREST COURT,1 BARI COURT,FARMINGTON,06085,36,LIHTC,,,No
BARBOUR-KENSINGTON APTS.,398-300 Barbour Street,HARTFORD,06120,36,Section8_Multifamily,The Hartford Communities I LLC,JCarabetta@Carabetta.com,No
CASA EDAD DE ORO,25 BELDEN ST,HARTFORD,06120,36,Section8_Multifamily,SAN JUAN CENTER ELDERLY HOUSING INC.,fernandob@sanjuancenter.org,No
FOREST COURT,BARI LANE,UNIONVILLE,06085,36,Section8_Multifamily,"Forest Court, LLC",rick@westmountmgmt.com,No
Saye Brook Village East,55 Sheffield St,Old Saybrook,06475,36,Section8_Multifamily,"Old Saybrook Senior Housing, Inc.",dpelletier@ehmchm.org,No
"RIPTON, THE",423 Howe Ave,Shelton,06484,36,Section8_Multifamily,Shelton Senior Housing Inc.,dpelletier@ehmchm.org,No
ALBION STREET APTS,36 ALBION ST,BRIDGEPORT,06605,35,LIHTC;Public_Housing,Housing Authority of the City of Bridgeport,,Yes
CARROLL APTS,25 STEWART AVE,WATERBURY,06705,35,LIHTC,,,No
WASHINGTON PARK REVITALIZATION PROJECT LP,480 E WASHINGTON AVE,BRIDGEPORT,06608,35,LIHTC,,,No
CARROLL BUILDING,44 WILLOW STREET,WATERBURY,06710,35,LIHTC,,,No
PERCIVAL C. SMITH TOWERS,188 Sigourney St,Hartford,06105,35,Public_Housing,Housing Authority of the City of Hartford,,No
ROUTE 6 WESTWOODS ASSOC,312 SCOTT SWAMP RD,FARMINGTON,06032,34,LIHTC,,,No
ARMORY,232 ARCH ST,NEW BRITAIN,06051,34,LIHTC,,,No
FAIRFIELD APTS,1062 FAIRFIELD AVE,BRIDGEPORT,06605,34,LIHTC,,,No
WESTWOODS APTS,308 SCOTT SWAMP RD,FARMINGTON,06032,34,LIHTC,,,No
RIVER COMMONS APARTMENTS,15 SCHOOL STREET,NORWALK,06851,34,LIHTC,,,No
LAWNHILL TERRACE 4,31-97 CUSTER STREET (ODD),STAMFORD,06902,34,LIHTC,,,No
Hallocks Landing,187 Minerva St,Derby,06418,34,Section8_Multifamily,"Lincoln Senior Housing, Inc.",mheltke@ehmchm.org,No
MORRISSEY MANOR,174 Center St,West Haven,06516,34,Public_Housing,West Haven Housing Authority,,No
SOUTH MAIN - EAST LIBERTY APTS,SOUTH MAIN & E LIBERTY,WATERBURY,,33,LIHTC,,,No
LIBERTY SAFE HAVEN,210 STATE ST,NEW HAVEN,06510,33,LIHTC,,,No
QUINNIPIAC TERRACE PHASE III,42 PECK ST,NEW HAVEN,06513,33,LIHTC,,,No
CLINTON COMMONS,75-101 CLINTON AVENUE,BRIDGEPORT,06605,33,LIHTC,,,No
LIBERTY COMMONS,619-629 SOUTH MAIN ST. 24-30 EAST LIBERTY ST.,WATERBURY,06903,33,LIHTC,,,No
MILLPORT PHASE I,33-35 MILLPORT AVENUE,NEW CANAAN,06840,33,LIHTC,,,No
Wellington at Madison,131 Cottage Rd,Madison,06443,33,Section8_Multifamily,The Caleb Foundation,sdecavele@thecalebgroup.org,No
BOSTON COMMONS,1260 Boston Ave,Bridgeport,06610,33,Public_Housing,Housing Authority of the City of Bridgeport,,No
CLINTON COMMONS APTS,91 CLINTON AVE,BRIDGEPORT,06605,32,LIHTC,,,No
134-138 JEFFERSON,134 JEFFERSON ST,HARTFORD,06106,32,LIHTC,,,No
SALMON BROOK ELDERLY HOUSING,,GRANBY,,32,LIHTC,,,No
MAPLEWOOD COURT,434 MAPLEWOOD AVE,BRIDGEPORT,06605,32,LIHTC;Public_Housing,Housing Authority of the City of Bridgeport,,Yes
MAPLE HILL APTS,14 S BROAD ST,MERIDEN,06450,32,LIHTC,,,No
AMSTON VILLAGE LP,500 AMSTON RD,COLCHESTER,06415,32,LIHTC,,,No
SHEPHERD HOME,112 BOW LANE,MIDDLETOWN,06457,32,LIHTC,,,No
CLOVER GARDENS,"834, 846, 852 ASYLUM AVE, 1 HUNTINGTON ST",HARTFORD,06105,32,LIHTC,,,No
MAPLE HILL APTS,20 S Broad St,Meriden,06450,32,Section8_Multifamily,Maple L.P.,aan@facboston.com,No
Porter Street Apts,10 Porter St,Waterbury,06708,32,Section8_Multifamily,"WTBR Associates, LLC",worldwide6527@outlook.com,No
Tunxis Apts,4 PLATNER,UNIONVILLE,06085,32,Section8_Multifamily,Tunxis Apartments,MAnderson@imagineersllc.com,No
Zbikowski Park,61 - 63 Rollison Road,Bristol,06010,32,Section8_Multifamily,HOUSING AUTHORITY OF THE CITY OF BRISTOL,mrowe@bristolhousing.org,No
Winding River Village,1127 Tolland Stage Rd,Tolland,06084,32,Section8_Multifamily,"Tolland Senior Housing, Inc.",rjf2@mac.com,No
Willington Woods,25 Senior Way,Willington,06279,32,Section8_Multifamily,"Access Senior Housing of Willington, Inc.",peter.debiasi@accessagency.org,No
MEADOW VIEW ELDERLY HOUSING,50 Mill Street Ext,Newington,06111,32,Section8_Multifamily,"New Meadow Elderly Housing, Inc.",kmcdermott@ehmchm.org,No
Cherry Apartments,145 Cherry St,Waterbury,06702,32,Section8_Multifamily,"CHERRY AVENUE PARTNERS LIMITED
PARTNERSHIP",haroldfoleyiii@gmail.com,No
THAMES RIVER APARTMENTS,46 Crystal Ave,New London,06320,32,Public_Housing,New London Housing Authority,,No
WINSLOW CELENTANO APTS,60 Warren St,New Haven,06511,32,Public_Housing,Housing Authority of the City of New Haven,,No
MORRISSEY MANOR,18A Bayshore Dr,West Haven,06516,32,Public_Housing,West Haven Housing Authority,,No
MORRISSEY MANOR,34A Bayshore Dr,West Haven,06516,32,Public_Housing,West Haven Housing Authority,,No
270-278 FARMINGTON AVE,270 FARMINGTON AVE,HARTFORD,06105,31,LIHTC,,,No
Antillean Estates,206 DAY  ST,NEW HAVEN,06511,31,Section8_Multifamily,Antillean Estates LLC,wstetson@carabetta.com,No
Bishop Curtis/Augustana Homes - Greenwich,1040 E Putnam Ave,Greenwich,06878,31,Section8_Multifamily,AH Greenwich Acquisition LLC,mfinkle@related.com,No
ROSE COMMONS,540 HARTFORD TURNPIKE,VERNON,06066,31,Section8_Multifamily,"SACRED HEART RETIREMENT COMMUNITY, INC.",fr.rick@cath-comm.org,No
MORRISSEY MANOR,10A Bayshore Dr,West Haven,06516,31,Public_Housing,West Haven Housing Authority,,No
JEFFERSON/SEYMOUR,94 SEYMOUR ST,HARTFORD,06106,30,LIHTC,,,No
MSP HOUSING,2197 MAIN ST,HARTFORD,06120,30,LIHTC,,,No
WEBSTER STREET MUTUAL HOUSING,63 WEBSTER ST,HARTFORD,06114,30,LIHTC,,,No
ST MAURICE ELDERLLY,235 GLENBROOK RD,STAMFORD,06906,30,LIHTC,,,No
WOODBRIDGE ELDERLY HOUSING,15 LUCY ST,WOODBRIDGE,06525,30,LIHTC,,,No
BRICK ROW APTS,25 VERMONT DR,WILLIMANTIC,06226,30,LIHTC,,,No
MONTEREY PLACE - ELM HAVEN HOMES BLOCK C,14 FOOTE ST,NEW HAVEN,06511,30,LIHTC,,,No
CASA FAMILIA,130 SYLVAN AVE,NEW HAVEN,06519,30,LIHTC,,,No
WILLOW CREEK APARTMENTS PHASE III,421 GRANBY STREET,HARTFORD,06112,30,LIHTC,,,No
ASYLUM GARDENS,944 Asylum Ave,Hartford,06105,30,Section8_Multifamily,944 Asylum Ave LLC,office@sternspropertiesgroup.com,No
FAIRFIELD/MILL RIDGE,42-44 High Ridge Rd,DANBURY,06811,30,Section8_Multifamily,FAIRFIELD RIDGE/MILL RIDGE LIMITED PARTNERSHI,dmarra@hacdct.org,No
McKenna Court,1 Washington St,Wallingford,06492,30,Section8_Multifamily,"McKenna Court, LLC",rcanalia@wallingfordha.com,No
SUGARLOAF TERRACE,1 SUGARLOAF TER,MIDDLEFIELD,06481,30,Section8_Multifamily,MIDDLEFIELD HOUSING AUTHORITY,middlehousingauthority@comcast.net,No
Kingsway at Truman Park,71 TRUMAN ST,BRIDGEPORT,06606,30,Section8_Multifamily,"Kingsway at Truman Park, LLC.",Michael@kingswaygroup.org,No
Coventry Place,160 Coventry Street,Bloomfield,06002,30,Section8_Multifamily,"Coventry Place, Inc.",MontyA@crtct.org,No
KING KENNEDY HOMES,1 Emerson St,Norwalk,06855,30,Public_Housing,Housing Authority Of The City Of Norwalk,,No
KILLINGLY ELDERLY HOUSING,,DANIELSON,,29,LIHTC,,,No
COLONY APTS,41 LUDLOW ST,STAMFORD,06902,29,LIHTC,,,No
COUNTRY PLACE OF COLCHESTER LP,7 MEADOW DR,COLCHESTER,06415,28,LIHTC,,,No
PRIMROSE VILLAGE,VALLEY RD,DAYVILLE,,28,LIHTC,,,No
SHEFFIELD OAKS,141 SHEFFIELD AVE,NEW HAVEN,06511,28,LIHTC,,,No
CARRIAGE SQUARE,110 MAIN ST,NORTH GROSVENORDALE,06255,28,LIHTC,,,No
HISTORIC TOWNLEY STREET LP,28 TOWNLEY ST,HARTFORD,06105,28,LIHTC,,,No
HUDSON VIEW COMMONS,519 HUDSON ST,HARTFORD,06106,28,LIHTC,,,No
THE ATLANTIC,50 BELL ST,STAMFORD,06901,28,LIHTC,,,No
SAMUELS COURT APTS,5 SCUPPO RD,DANBURY,06811,28,LIHTC,,,No
Norfolk Senior Housing: Meadowbrook,9 Shepard Road,Norfolk,06058,28,Section8_Multifamily,Norfolk Senior Housing Corporation,lbarbagallo@snet.net,No
Henry Place Apartments,67 - 71 Henry St,Stamford,06902,28,Section8_Multifamily,Henry Place Apartments LLC,sam@thecapitalrealty.com,No
THAMES RIVER APARTMENTS,40 Crystal Ave,New London,06320,28,Public_Housing,New London Housing Authority,,No
BOSTON COMMONS,1150 Pembroke St,Bridgeport,06608,28,Public_Housing,Housing Authority of the City of Bridgeport,,No
NUTMEG PARK APTS,228 DR FOOTE RD,COLCHESTER,06415,27,LIHTC,,,No
379-395 EAST MAIN STREET APTS,379 E MAIN ST,BRIDGEPORT,06608,27,LIHTC,,,No
RIVERBEND APTS,20 GREENWAY DR,BROOKLYN,06234,27,LIHTC,,,No
LEDGEWOOD APTS,35 PLEASANT VIEW ST,JEWETT CITY,06351,27,LIHTC,,,No
ATLANTIC PARK APTS,660 ATLANTIC ST,STAMFORD,06902,27,LIHTC,,,No
Belltown School Elderly Housing,21 BURDICK STREET,STAMFORD,06905,27,Section8_Multifamily,NNI Belltown Elderly Housing Inc,jhealy@newneighborhoods.org,No
LEGION AVENUE COURT,"46-54 AUBURN ST.,",NEW HAVEN,06511,27,Section8_Multifamily,LEG WH LLC,wmharp@abacusproperty.net,No
BULGER APARTMENTS,218 WOODSTOCK - Units 34 - 47,PUTNAM,06260,27,Section8_Multifamily,PUTNAM HOUSING AUTHORITY,putnamhousing@gmail.com,No
Elisha Brook/Access Senior Housing,56 New Park Ave,North Franklin,06254,27,Section8_Multifamily,"Access Senior Housing of Franklin, Inc.",peter.debiasi@accessagency.org,No
ARMORY COURT,10 GRAND ST,NEW BRITAIN,06052,26,LIHTC,,,No
FROG HOLLOW HOMES,180 AFFLECK ST,HARTFORD,06106,26,LIHTC,,,No
Hillside Apts Phase II,29 MOPSIC ST,Norwich,06360,26,Section8_Multifamily,"Eastern Connecticut Housing Opportunities, Inc.",julie@echohomes.org,No
SAINT LUKES,144 BROAD ST,MIDDLETOWN,06457,26,Section8_Multifamily,Broad Street Affordable Housing LLC,billv40@hotmail.com,No
HERBERT T CLARK ASSISTED LIVING,43 CANIONE RD,GLASTONBURY,06033,25,LIHTC,,,No
HALPIN COURT,17 HALPIN LN,RIDGEFIELD,06877,25,LIHTC,,,No
CEDAR HILL APTS,1465 STATE ST,NEW HAVEN,06511,25,LIHTC,,,No
JORDAN BROOK TERRACE,55 YORKSHIRE DR,WATERFORD,06385,25,LIHTC,,,No
UNION STREET COOPERATIVE,305 JENNIFERS WAY,MANCHESTER,,25,LIHTC,,,No
OLDE SCHOOL COMMONS APTS,1059 PEMBROKE ST,BRIDGEPORT,06608,25,LIHTC,,,No
Fairfield Ridge Apts,3-5 FAIRFIELD RIDGE RD,Danbury,06811,25,Section8_Multifamily,Housing Authority of the City of danbury,dmarra@hacdct.org,No
Underwood Family Apts,110 Laurel St.,Hartford,06105,25,Section8_Multifamily,100-110 Laurel Street Associates Limited Partnersh,frances.mariani@sandalwoodmgt.com,No
CHESTNUT HILL / OAK GROVE TERRACE APTS,22 Grove St,Windsor Locks,06096,25,Public_Housing,Windsor Locks Housing Authority,,No
HIGHWOOD SQUARE LP,953 DIXWELL AVE,HAMDEN,06514,24,LIHTC,,,No
BUCKINGHAM STREET,213 BUCKINGHAM ST,HARTFORD,06106,24,LIHTC,,,No
SOUTH COMMON,22 S COMMONS,KENT,06757,24,LIHTC,,,No
ZION STREET MUTUAL HOUSING,511 ZION ST,HARTFORD,06106,24,LIHTC,,,No
FERRY MUTUAL HOUSING LP,309 POPLAR ST,NEW HAVEN,06513,24,LIHTC,,,No
North Purchase,11 Jackson Ln,Bethlehem,06751,24,Section8_Multifamily,BETHLEHEM HOMES INC.,jbshup@aol.com,No
Hill Top Homes,212 Rowayton Ave,Norwalk,06853,24,Section8_Multifamily,ROWAYTON SENIOR HOUSING CORPORATION,dpelletier@ehmchm.org,No
Hop River Homes,25 Riverside Dr,Andover,06232,24,Section8_Multifamily,Eastern Connecticut Housing Corporation,matt@wildwoodmgt.com,No
Lymewood Elderly,249 Boston Post Rd,Old Lyme,06371,24,Section8_Multifamily,"LYMES ELDERLY HOUSING, INC.",vivian.senft@cbmoves.com,No
Stamford Cross Road,6 Cross Rd,Stamford,06905,24,Section8_Multifamily,STAMFORD CROSS RD. RESIDENCES,jlc1953@optonline.net,No
Templeton Farms,16 Swifts Ln,Kent,06757,24,Section8_Multifamily,"KENT VILLAGE HOUSING FOR THE ELDERLY, INC",dpelletier@ehmchm.org,No
Beckley House,85 S Canaan Rd,Canaan,06018,24,Section8_Multifamily,"Geer Village, A Housing & Development Company",lleifert@conquestsolutions.com,No
Ledgewood Acres,Canterbury Road,Plainfield,06374,24,Section8_Multifamily,"P.B.H. Housing of Plainfield, Inc.",rcm550@aol.com,No
Park City - Supportive,12 Garden St,Bridgeport,06605,24,Public_Housing,Housing Authority of the City of Bridgeport,,No
Elderly and Bond Street,150 Bond St,New Britain,06053,24,Public_Housing,Housing Authority of the CIty of New Britain,,No
FIRESIDE APTS. EXT 2,725 Palisade Ave,Bridgeport,06610,24,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,1810 Stratford Ave,Bridgeport,06607,24,Public_Housing,Housing Authority of the City of Bridgeport,,No
CHESTER ELDERLY HOUSING,222 MIDDLESEX AVE,CHESTER,06412,23,LIHTC,,,No
HUNTINGTON PLACE II,46 HUNTINGTON ST,HARTFORD,06105,23,LIHTC,,,No
BERKELEY HEIGHTS,9 Harris Cir,Waterbury,06704,23,Public_Housing,Waterbury Housing Authority,,No
SAMUEL ROODNER COURT,261 Ely Ave,Norwalk,06854,23,Public_Housing,Housing Authority Of The City Of Norwalk,,No
BERKELEY HEIGHTS,23 Harris Cir,Waterbury,06704,23,Public_Housing,Waterbury Housing Authority,,No
BERKELEY HEIGHTS,73 Harris Cir,Waterbury,06704,23,Public_Housing,Waterbury Housing Authority,,No
ANVIL PLACE,55 W MAIN ST,NEW BRITAIN,06051,22,LIHTC,,,No
30 WEST AVE APTS,24 W AVE,NORWALK,06854,22,LIHTC,,,No
MONICA APTS,90 WEBSTER ST,HARTFORD,06114,22,LIHTC,,,No
WHALLEY TERRACE,560 WHALLEY AVE,NEW HAVEN,06511,22,LIHTC,,,No
SUMMITWOODS II,15 MOPSIC CT,NORWICH,06360,22,LIHTC,,,No
High Meadow Apartments,25 HIGH MEADOW PL,Haddam,06438,22,Section8_Multifamily,Haddam Elderly Housing Corporation,jrwoickelman@att.net,No
Lawton House,21 Babcock Ave,Plainfield,06374,22,Section8_Multifamily,"Lawton House, LLC",rheo_brouillard@banksi.com,No
ROBESON ELDERLY HOUSING,91 ROSETTE ST,NEW HAVEN,06519,22,Section8_Multifamily,ROB WH LLC,wmharp@abacusproperty.net,No
Village Apts,6 Evansville Ave,Meriden,06451,22,Section8_Multifamily,Village Apartments Associates,carrprop@aol.com,No
GRACE MEADOWS III,273 Roxbury Rd,Southbury,06488,22,Section8_Multifamily,Pomperaug Senior Housing Inc.,fcmcgee41@gmail.com,No
VICTORY CATHEDRAL,218-220-224-226 Bellevue St.,Hartford,06120,22,Section8_Multifamily,"Victory Housing, Inc",bfairbairn@ehmchm.org,No
New Samaritan Parkville 202,126 and 130 New Park Avenue,Hartford,06106,22,Section8_Multifamily,"New Samaritan Parkville, Inc",kmcdermott@ehmchm.org,No
Berkowitz II,608 Main St,New Britain,06051,22,Section8_Multifamily,Chrysalis Center Housing Development Corporation,scastelli@chrysaliscenterct.org,No
BOSTON COMMONS,855 Norman St,Bridgeport,06605,22,Public_Housing,Housing Authority of the City of Bridgeport,,No
ST MARY'S SCHOOL,55 GROVE ST,WINDSOR LOCKS,06096,21,LIHTC,,,No
GUILFORD INTERFAITH MHLP,2 ROCKY BROOK LN,GUILFORD,06437,21,LIHTC,,,No
WILLOW MUTUAL HOUSING LP,203 WILLOW ST,WATERBURY,06710,21,LIHTC,,,No
LIBERTY PLACE,8 LIBERTY PLACE,CLINTON,06413,21,LIHTC,,,No
GEORGE B. LEWIS II,71 Osborn Rd,Naugatuck,06770,21,Public_Housing,Naugatuck Housing Authority,,No
WILBUR PECK COURT,1C Wilbur Peck Ct,Greenwich,06830,21,Public_Housing,Greenwich Housing Authority,,No
WILBUR PECK COURT,3C Wilbur Peck Ct,Greenwich,06830,21,Public_Housing,Greenwich Housing Authority,,No
29 COOKE ST,29 COOKE ST,WATERBURY,06710,20,LIHTC,,,No
HART GARDENS APTS,439 ARCH ST,NEW BRITAIN,06051,20,LIHTC,,,No
RICHARD STREET COOPERATIVE,72 WOLCOTT ST,NEW HAVEN,06513,20,LIHTC,,,No
CARTER COURT COOPERATIVE,1 FULL CIR,GLASTONBURY,06033,20,LIHTC,,,No
EAST MAIN MEWS,588 E MAIN ST,BRIDGEPORT,06608,20,LIHTC,,,No
AREYTO APTS,665 ARCTIC ST,BRIDGEPORT,06608,20,LIHTC,,,No
ST. MARY PLACE,16 HUNTINGTON STREET,NEW LONDON,06320,20,LIHTC;Section8_Multifamily,ST. MARY PLACE - THE CONNECTION FUND LIMITED PARTN,bhogan@theconnectioninc.org,Yes
CAPITAL APARTMENTS,290 MAIN STREET,ANSONIA,06401,20,Section8_Multifamily,Capitol Plaza,harp.wm@gmail.com,No
Oak Grove Apartments,48 William Palmer Road,MOODUS,06469,20,Section8_Multifamily,"SENIOR HOUSINGCORP. OF EAST HADDAM, INC.",matt@westfordmgt.com,No
Legion Woods,442-448 Legion Ave.,New Haven,06511,20,Section8_Multifamily,"The Connection Fund Realty, Inc.",skabshire@theconnectioninc.org,No
Susan M.B. Perry Senior Hsg,115 Spencer Street,Winsted,06098,20,Section8_Multifamily,Northwest Senior Housing Corporation,MFontaine@demarcomc.com,No
ENFIELD MAGNOLIA,"60 Wadsworth Street, L6",Hartford,06106,20,Section8_Multifamily,Hartford Preservation A LLC,dmcarthy@heritagehousinginc.com,No
BERKELEY HEIGHTS,141 Harris Cir,Waterbury,06704,20,Public_Housing,Waterbury Housing Authority,,No
BERKELEY HEIGHTS,82 Harris Cir,Waterbury,06704,20,Public_Housing,Waterbury Housing Authority,,No
P.T. BARNUM APTS.,209 Anthony St,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
P.T. BARNUM APTS.,201 Anthony St,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
BERKELEY HEIGHTS,159 Harris Cir,Waterbury,06704,20,Public_Housing,Waterbury Housing Authority,,No
BERKELEY HEIGHTS,45 Harris Cir,Waterbury,06704,20,Public_Housing,Waterbury Housing Authority,,No
Windermere Court,29 Windermere Ave,Rockville,06066,20,Public_Housing,Vernon Housing Authority,,No
P.T. BARNUM APTS.,144 Saint Stephens Rd,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
BERKELEY HEIGHTS,171 Harris Cir,Waterbury,06704,20,Public_Housing,Waterbury Housing Authority,,No
Elderly and Bond Street,70 Bond St,New Britain,06053,20,Public_Housing,Housing Authority of the CIty of New Britain,,No
P.T. BARNUM APTS.,471 Bird St,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
BERKELEY HEIGHTS,32 Harris Cir,Waterbury,06704,20,Public_Housing,Waterbury Housing Authority,,No
P.T. BARNUM APTS.,156 Saint Stephens Rd,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
P.T. BARNUM APTS.,221 Anthony St,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
P.T. BARNUM APTS.,148 Saint Stephens Rd,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
P.T. BARNUM APTS.,160 Saint Stephens Rd,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
CHESTNUT HILL / OAK GROVE TERRACE APTS,13 Grove St,Windsor Locks,06096,20,Public_Housing,Windsor Locks Housing Authority,,No
P.T. BARNUM APTS.,455 Bird St,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
P.T. BARNUM APTS.,140 Saint Stephens Rd,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
